index,MS_SubClass,MS_Zoning,Lot_Frontage,Lot_Area,Street,Alley,Lot_Shape,Land_Contour,Utilities,Bldg_Type,House_Style,Overall_Qual,Overall_Cond,Year_Built,Year_Remod_Add,Roof_Style,Exter_Qual,Exter_Cond,Foundation,Bsmt_Qual,Bsmt_Cond,Bsmt_Exposure,Bsmt_Unf_SF,Total_Bsmt_SF,Heating,Heating_QC,Central_Air,Electrical,First_Flr_SF,Second_Flr_SF,Gr_Liv_Area,Bsmt_Full_Bath,Full_Bath,Bedroom_AbvGr,Kitchen_AbvGr,Kitchen_Qual,TotRms_AbvGrd,Functional,Fireplaces,Fireplace_Qu,Garage_Type,Garage_Cars,Garage_Area,Garage_Qual,Garage_Cond,Paved_Drive,Open_Porch_SF,Enclosed_Porch,Screen_Porch,Pool_Area,Pool_QC,Fence,Misc_Feature,Misc_Val,Mo_Sold,Year_Sold,Sale_Type,Sale_Condition,y
136,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,0,19900,Pave,No_Alley_Access,Regular,Lvl,AllPub,OneFam,One_Story,Good,Average,1970,1989,Gable,Typical,Typical,CBlock,Good,Typical,Gd,1035,1947,GasA,Typical,Y,SBrkr,2207,0,2207,1,2,3,1,Typical,7,Min1,1,Good,Attchd,2,576,Typical,Typical,Paved,0,0,0,0,No_Pool,No_Fence,None,0,7,2010,WD ,Normal,C
947,One_and_Half_Story_Finished_All_Ages,Residential_Low_Density,48,12822,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,OneFam,One_and_Half_Fin,Good,Average,2003,2003,Gable,Good,Typical,PConc,Excellent,Typical,No,83,1434,GasA,Excellent,Y,SBrkr,1518,631,2149,1,1,1,1,Good,6,Typ,1,Excellent,Attchd,2,670,Typical,Typical,Paved,43,0,198,0,No_Pool,No_Fence,None,0,8,2009,WD ,Abnorml,B
280,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,64,6410,Pave,No_Alley_Access,Regular,HLS,AllPub,OneFam,One_Story,Below_Average,Average,1958,1958,Hip,Typical,Typical,CBlock,Typical,Typical,No,960,960,GasA,Excellent,Y,SBrkr,960,0,960,0,1,3,1,Typical,5,Typ,0,No_Fireplace,No_Garage,0,0,No_Garage,No_Garage,Paved,0,0,0,0,No_Pool,Minimum_Privacy,None,0,5,2010,WD ,Normal,E
1572,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,0,15498,Pave,No_Alley_Access,Slightly_Irregular,Lvl,AllPub,OneFam,One_Story,Very_Good,Above_Average,1976,1976,Hip,Good,Typical,CBlock,Good,Typical,Av,0,1565,GasA,Typical,Y,SBrkr,2898,0,2898,1,2,2,1,Good,10,Typ,1,Good,Attchd,2,665,Typical,Typical,Paved,72,174,0,0,No_Pool,No_Fence,None,0,5,2008,COD,Abnorml,A
1585,Two_Story_1946_and_Newer,Residential_Low_Density,85,12244,Pave,No_Alley_Access,Regular,Lvl,AllPub,OneFam,Two_Story,Very_Good,Average,2003,2003,Hip,Good,Typical,PConc,Good,Typical,Gd,611,1482,GasA,Excellent,Y,SBrkr,1482,780,2262,1,2,4,1,Good,10,Typ,2,Good,Attchd,3,749,Typical,Typical,Paved,0,0,0,0,No_Pool,No_Fence,None,0,8,2008,WD ,Normal,A
1429,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,0,11500,Pave,No_Alley_Access,Slightly_Irregular,Bnk,AllPub,OneFam,One_Story,Above_Average,Above_Average,1966,1966,Flat,Typical,Typical,CBlock,Good,Good,Gd,197,1182,GasA,Excellent,Y,SBrkr,1643,0,1643,1,2,2,1,Typical,6,Typ,1,Good,Attchd,2,438,Typical,Typical,Paved,0,0,0,0,No_Pool,No_Fence,None,0,3,2008,WD ,Normal,C
1483,One_Story_PUD_1946_and_Newer,Residential_Medium_Density,0,4438,Pave,No_Alley_Access,Regular,Lvl,AllPub,TwnhsE,One_Story,Above_Average,Average,2004,2004,Gable,Good,Typical,PConc,Good,Typical,Av,186,848,GasA,Excellent,Y,SBrkr,848,0,848,1,1,1,1,Good,3,Typ,1,Good,Attchd,2,420,Typical,Typical,Paved,0,0,0,0,No_Pool,No_Fence,None,0,1,2008,WD ,Normal,D
2797,Two_Story_1946_and_Newer,Residential_Low_Density,0,21533,Pave,No_Alley_Access,Moderately_Irregular,Lvl,AllPub,OneFam,Two_Story,Good,Average,1996,1997,Gable,Good,Typical,PConc,Good,Typical,No,1065,1065,GasA,Excellent,Y,SBrkr,1065,984,2049,0,2,4,1,Good,9,Typ,1,Typical,Attchd,2,467,Typical,Typical,Paved,48,0,0,0,No_Pool,No_Fence,None,0,8,2006,WD ,Normal,B
1254,One_Story_1946_and_Newer_All_Styles,Residential_Low_Density,60,10122,Pave,No_Alley_Access,Regular,Lvl,AllPub,OneFam,One_Story,Below_Average,Above_Average,1948,1950,Gable,Typical,Typical,Slab,No_Basement,No_Basement,No_Basement,0,0,GasA,Typical,N,SBrkr,869,0,869,0,1,1,1,Typical,3,Typ,0,No_Fireplace,Detchd,1,390,Fair,Typical,Dirt_Gravel,0,66,0,0,No_Pool,Good_Privacy,None,0,8,2008,WD ,Normal,E
838,Two_Story_1946_and_Newer,Residential_Low_Density,43,10667,Pave,No_Alley_Access,Moderately_Irregular,Lvl,AllPub,OneFam,Two_Story,Good,Above_Average,1996,1996,Gable,Good,Typical,PConc,Good,Typical,Av,70,799,GasA,Excellent,Y,SBrkr,827,834,1661,1,2,3,1,Good,6,Typ,1,Typical,Attchd,2,550,Typical,Typical,Paved,61,0,0,0,No_Pool,No_Fence,None,0,4,2009,ConLw,Normal,B
