index,A,B,C,D,E
1476,0.0,0.0,1.0,0.0,0.0
781,0.0,0.0,0.0,0.0,1.0
2374,0.0,1.0,0.0,0.0,0.0
270,0.0,0.0,0.0,1.0,0.0
9,0.0,0.0,0.0,1.0,0.0
2535,1.0,0.0,0.0,0.0,0.0
424,0.0,0.0,0.0,0.0,1.0
1110,1.0,0.0,0.0,0.0,0.0
2515,0.0,1.0,0.0,0.0,0.0
2274,0.0,1.0,0.0,0.0,0.0
2398,0.0,0.0,0.0,0.0,1.0
406,0.0,1.0,0.0,0.0,0.0
606,0.0,1.0,0.0,0.0,0.0
2613,0.0,0.0,0.0,1.0,0.0
705,0.0,0.0,1.0,0.0,0.0
1087,0.0,0.0,0.0,0.0,1.0
614,0.0,1.0,0.0,0.0,0.0
1324,0.0,0.0,0.0,1.0,0.0
1431,0.0,0.0,0.0,1.0,0.0
863,0.0,0.0,1.0,0.0,0.0
122,1.0,0.0,0.0,0.0,0.0
1033,0.0,0.0,0.0,0.0,1.0
1968,0.0,0.0,0.0,1.0,0.0
2443,1.0,0.0,0.0,0.0,0.0
1765,0.0,0.0,1.0,0.0,0.0
1308,1.0,0.0,0.0,0.0,0.0
2018,0.0,0.0,1.0,0.0,0.0
2323,0.0,0.0,0.0,1.0,0.0
467,1.0,0.0,0.0,0.0,0.0
140,0.0,0.0,0.0,0.0,1.0
2098,0.0,0.0,0.0,0.0,1.0
28,1.0,0.0,0.0,0.0,0.0
242,1.0,0.0,0.0,0.0,0.0
2786,0.0,0.0,0.0,1.0,0.0
1794,1.0,0.0,0.0,0.0,0.0
1273,1.0,0.0,0.0,0.0,0.0
856,0.0,1.0,0.0,0.0,0.0
1926,1.0,0.0,0.0,0.0,0.0
2346,1.0,0.0,0.0,0.0,0.0
2834,0.0,0.0,1.0,0.0,0.0
2472,0.0,1.0,0.0,0.0,0.0
1199,0.0,0.0,0.0,0.0,1.0
587,0.0,0.0,1.0,0.0,0.0
1448,0.0,0.0,0.0,0.0,1.0
2446,0.0,1.0,0.0,0.0,0.0
2879,0.0,0.0,1.0,0.0,0.0
1567,0.0,1.0,0.0,0.0,0.0
1234,1.0,0.0,0.0,0.0,0.0
1685,0.0,0.0,0.0,0.0,1.0
1896,0.0,0.0,0.0,1.0,0.0
1778,0.0,0.0,1.0,0.0,0.0
2038,0.0,0.0,0.0,1.0,0.0
2670,0.0,0.0,1.0,0.0,0.0
1350,0.0,0.0,0.0,0.0,1.0
1440,0.0,0.0,0.0,0.0,1.0
2369,1.0,0.0,0.0,0.0,0.0
161,0.0,0.0,0.0,0.0,1.0
24,0.0,1.0,0.0,0.0,0.0
1548,0.0,0.0,1.0,0.0,0.0
2636,0.0,0.0,0.0,1.0,0.0
1236,1.0,0.0,0.0,0.0,0.0
1583,0.0,0.0,1.0,0.0,0.0
2291,0.0,0.0,0.0,0.0,1.0
2132,1.0,0.0,0.0,0.0,0.0
746,0.0,1.0,0.0,0.0,0.0
1090,0.0,1.0,0.0,0.0,0.0
2511,0.0,0.0,0.0,1.0,0.0
1174,0.0,0.0,1.0,0.0,0.0
502,0.0,0.0,0.0,1.0,0.0
1801,0.0,1.0,0.0,0.0,0.0
375,0.0,1.0,0.0,0.0,0.0
709,1.0,0.0,0.0,0.0,0.0
323,0.0,0.0,0.0,0.0,1.0
2295,0.0,0.0,1.0,0.0,0.0
2454,0.0,0.0,1.0,0.0,0.0
1631,0.0,1.0,0.0,0.0,0.0
632,0.0,0.0,1.0,0.0,0.0
1607,0.0,1.0,0.0,0.0,0.0
1612,0.0,0.0,0.0,0.0,1.0
529,0.0,0.0,0.0,1.0,0.0
592,0.0,0.0,0.0,1.0,0.0
1423,0.0,1.0,0.0,0.0,0.0
2099,1.0,0.0,0.0,0.0,0.0
1863,0.0,0.0,1.0,0.0,0.0
144,0.0,0.0,1.0,0.0,0.0
589,0.0,0.0,1.0,0.0,0.0
673,1.0,0.0,0.0,0.0,0.0
2353,0.0,0.0,1.0,0.0,0.0
789,0.0,0.0,1.0,0.0,0.0
2164,0.0,0.0,0.0,0.0,1.0
531,1.0,0.0,0.0,0.0,0.0
1879,0.0,1.0,0.0,0.0,0.0
2724,0.0,0.0,0.0,1.0,0.0
2812,0.0,0.0,0.0,1.0,0.0
484,0.0,0.0,1.0,0.0,0.0
2420,1.0,0.0,0.0,0.0,0.0
157,0.0,0.0,1.0,0.0,0.0
1453,0.0,1.0,0.0,0.0,0.0
1315,0.0,0.0,1.0,0.0,0.0
1224,1.0,0.0,0.0,0.0,0.0
1141,0.0,1.0,0.0,0.0,0.0
591,0.0,1.0,0.0,0.0,0.0
1921,0.0,0.0,0.0,0.0,1.0
2586,0.0,0.0,1.0,0.0,0.0
1185,0.0,1.0,0.0,0.0,0.0
902,0.0,0.0,0.0,0.0,1.0
128,1.0,0.0,0.0,0.0,0.0
191,0.0,1.0,0.0,0.0,0.0
449,0.0,0.0,0.0,1.0,0.0
2388,1.0,0.0,0.0,0.0,0.0
1956,0.0,0.0,1.0,0.0,0.0
95,1.0,0.0,0.0,0.0,0.0
1684,0.0,1.0,0.0,0.0,0.0
1881,0.0,0.0,1.0,0.0,0.0
849,0.0,1.0,0.0,0.0,0.0
2521,0.0,0.0,1.0,0.0,0.0
2037,0.0,0.0,0.0,0.0,1.0
1298,0.0,0.0,1.0,0.0,0.0
1208,0.0,0.0,1.0,0.0,0.0
2790,0.0,0.0,0.0,0.0,1.0
2723,1.0,0.0,0.0,0.0,0.0
1410,0.0,1.0,0.0,0.0,0.0
1846,1.0,0.0,0.0,0.0,0.0
1034,0.0,0.0,1.0,0.0,0.0
2765,0.0,1.0,0.0,0.0,0.0
967,0.0,0.0,0.0,1.0,0.0
2372,0.0,1.0,0.0,0.0,0.0
1120,0.0,1.0,0.0,0.0,0.0
1937,0.0,0.0,0.0,0.0,1.0
951,0.0,0.0,0.0,1.0,0.0
1903,0.0,0.0,1.0,0.0,0.0
2088,1.0,0.0,0.0,0.0,0.0
2221,0.0,0.0,1.0,0.0,0.0
2890,0.0,1.0,0.0,0.0,0.0
1533,0.0,0.0,1.0,0.0,0.0
1571,0.0,0.0,0.0,1.0,0.0
2287,0.0,1.0,0.0,0.0,0.0
378,0.0,0.0,0.0,1.0,0.0
2082,1.0,0.0,0.0,0.0,0.0
1294,0.0,0.0,0.0,1.0,0.0
1445,0.0,0.0,0.0,1.0,0.0
2263,0.0,0.0,1.0,0.0,0.0
2192,0.0,0.0,0.0,1.0,0.0
247,0.0,1.0,0.0,0.0,0.0
1263,0.0,0.0,1.0,0.0,0.0
2310,0.0,0.0,0.0,1.0,0.0
2602,0.0,1.0,0.0,0.0,0.0
1040,0.0,0.0,1.0,0.0,0.0
1672,0.0,1.0,0.0,0.0,0.0
626,0.0,1.0,0.0,0.0,0.0
1635,1.0,0.0,0.0,0.0,0.0
1052,0.0,0.0,1.0,0.0,0.0
2334,0.0,0.0,0.0,0.0,1.0
1069,0.0,0.0,1.0,0.0,0.0
130,0.0,0.0,1.0,0.0,0.0
2045,1.0,0.0,0.0,0.0,0.0
2677,1.0,0.0,0.0,0.0,0.0
1929,1.0,0.0,0.0,0.0,0.0
1530,1.0,0.0,0.0,0.0,0.0
1361,0.0,1.0,0.0,0.0,0.0
1698,1.0,0.0,0.0,0.0,0.0
2643,1.0,0.0,0.0,0.0,0.0
1832,0.0,0.0,0.0,0.0,1.0
163,0.0,1.0,0.0,0.0,0.0
839,0.0,0.0,1.0,0.0,0.0
2928,0.0,0.0,0.0,1.0,0.0
1359,0.0,0.0,0.0,0.0,1.0
2600,0.0,0.0,0.0,1.0,0.0
519,0.0,0.0,1.0,0.0,0.0
918,0.0,0.0,1.0,0.0,0.0
2891,1.0,0.0,0.0,0.0,0.0
2289,0.0,0.0,1.0,0.0,0.0
516,0.0,0.0,1.0,0.0,0.0
1554,1.0,0.0,0.0,0.0,0.0
296,0.0,0.0,0.0,0.0,1.0
1064,0.0,0.0,0.0,1.0,0.0
728,1.0,0.0,0.0,0.0,0.0
1195,0.0,0.0,0.0,1.0,0.0
2768,0.0,0.0,0.0,0.0,1.0
546,0.0,0.0,1.0,0.0,0.0
389,0.0,1.0,0.0,0.0,0.0
2526,0.0,0.0,0.0,1.0,0.0
2929,0.0,1.0,0.0,0.0,0.0
2550,0.0,0.0,0.0,0.0,1.0
2010,1.0,0.0,0.0,0.0,0.0
1960,1.0,0.0,0.0,0.0,0.0
2249,1.0,0.0,0.0,0.0,0.0
81,0.0,0.0,1.0,0.0,0.0
2581,1.0,0.0,0.0,0.0,0.0
2729,0.0,0.0,1.0,0.0,0.0
466,1.0,0.0,0.0,0.0,0.0
1750,0.0,1.0,0.0,0.0,0.0
610,0.0,0.0,0.0,1.0,0.0
2473,1.0,0.0,0.0,0.0,0.0
2395,0.0,0.0,0.0,1.0,0.0
1435,0.0,0.0,1.0,0.0,0.0
2227,0.0,1.0,0.0,0.0,0.0
1244,0.0,0.0,0.0,0.0,1.0
2877,0.0,0.0,0.0,0.0,1.0
238,1.0,0.0,0.0,0.0,0.0
1601,0.0,0.0,0.0,0.0,1.0
1043,0.0,0.0,0.0,1.0,0.0
1768,0.0,1.0,0.0,0.0,0.0
1997,0.0,1.0,0.0,0.0,0.0
2629,0.0,0.0,0.0,1.0,0.0
1905,0.0,0.0,1.0,0.0,0.0
1493,0.0,0.0,0.0,1.0,0.0
1616,0.0,0.0,0.0,1.0,0.0
2022,1.0,0.0,0.0,0.0,0.0
737,0.0,1.0,0.0,0.0,0.0
1862,0.0,1.0,0.0,0.0,0.0
682,0.0,1.0,0.0,0.0,0.0
1841,0.0,0.0,0.0,1.0,0.0
129,0.0,0.0,0.0,1.0,0.0
1909,0.0,0.0,0.0,1.0,0.0
2000,0.0,0.0,0.0,0.0,1.0
1269,0.0,0.0,0.0,1.0,0.0
2759,0.0,0.0,0.0,0.0,1.0
2798,0.0,1.0,0.0,0.0,0.0
950,0.0,0.0,0.0,1.0,0.0
837,0.0,0.0,1.0,0.0,0.0
1966,1.0,0.0,0.0,0.0,0.0
2494,0.0,0.0,1.0,0.0,0.0
1317,0.0,1.0,0.0,0.0,0.0
1675,0.0,0.0,0.0,0.0,1.0
2016,0.0,0.0,1.0,0.0,0.0
2273,0.0,0.0,0.0,1.0,0.0
1060,0.0,0.0,1.0,0.0,0.0
1151,0.0,0.0,1.0,0.0,0.0
2212,0.0,0.0,0.0,1.0,0.0
681,0.0,0.0,0.0,0.0,1.0
1079,0.0,0.0,0.0,1.0,0.0
2619,0.0,0.0,0.0,0.0,1.0
2209,0.0,1.0,0.0,0.0,0.0
908,1.0,0.0,0.0,0.0,0.0
532,0.0,0.0,0.0,0.0,1.0
2197,0.0,1.0,0.0,0.0,0.0
1097,1.0,0.0,0.0,0.0,0.0
2876,0.0,0.0,0.0,1.0,0.0
2652,0.0,0.0,1.0,0.0,0.0
1995,0.0,0.0,1.0,0.0,0.0
33,0.0,0.0,1.0,0.0,0.0
1057,0.0,0.0,1.0,0.0,0.0
1980,0.0,1.0,0.0,0.0,0.0
322,1.0,0.0,0.0,0.0,0.0
2712,1.0,0.0,0.0,0.0,0.0
1615,0.0,0.0,0.0,1.0,0.0
1062,0.0,1.0,0.0,0.0,0.0
321,0.0,0.0,1.0,0.0,0.0
477,1.0,0.0,0.0,0.0,0.0
2191,0.0,1.0,0.0,0.0,0.0
2226,1.0,0.0,0.0,0.0,0.0
1632,1.0,0.0,0.0,0.0,0.0
1222,1.0,0.0,0.0,0.0,0.0
234,1.0,0.0,0.0,0.0,0.0
540,0.0,0.0,0.0,0.0,1.0
1270,0.0,0.0,0.0,0.0,1.0
1439,0.0,0.0,1.0,0.0,0.0
2569,0.0,0.0,0.0,0.0,1.0
143,0.0,1.0,0.0,0.0,0.0
505,0.0,0.0,0.0,0.0,1.0
2253,0.0,0.0,0.0,1.0,0.0
1326,0.0,0.0,0.0,1.0,0.0
731,0.0,0.0,0.0,1.0,0.0
2501,0.0,0.0,0.0,1.0,0.0
2775,0.0,0.0,0.0,0.0,1.0
818,0.0,0.0,0.0,0.0,1.0
2539,0.0,0.0,0.0,1.0,0.0
2046,0.0,0.0,1.0,0.0,0.0
442,0.0,0.0,0.0,0.0,1.0
1343,0.0,1.0,0.0,0.0,0.0
1693,0.0,1.0,0.0,0.0,0.0
2153,0.0,0.0,1.0,0.0,0.0
2819,0.0,0.0,1.0,0.0,0.0
1888,0.0,0.0,1.0,0.0,0.0
436,0.0,0.0,1.0,0.0,0.0
2628,0.0,1.0,0.0,0.0,0.0
915,0.0,0.0,1.0,0.0,0.0
2709,0.0,0.0,0.0,1.0,0.0
2014,0.0,1.0,0.0,0.0,0.0
1505,0.0,0.0,0.0,0.0,1.0
1130,0.0,0.0,0.0,1.0,0.0
2635,1.0,0.0,0.0,0.0,0.0
2599,1.0,0.0,0.0,0.0,0.0
1751,0.0,0.0,0.0,1.0,0.0
760,0.0,0.0,0.0,0.0,1.0
435,0.0,0.0,0.0,1.0,0.0
2912,1.0,0.0,0.0,0.0,0.0
1906,0.0,0.0,0.0,0.0,1.0
657,1.0,0.0,0.0,0.0,0.0
7,1.0,0.0,0.0,0.0,0.0
1248,0.0,0.0,0.0,0.0,1.0
2919,0.0,0.0,0.0,1.0,0.0
685,0.0,0.0,0.0,0.0,1.0
486,1.0,0.0,0.0,0.0,0.0
461,0.0,0.0,1.0,0.0,0.0
569,0.0,0.0,0.0,1.0,0.0
65,0.0,1.0,0.0,0.0,0.0
