index,A,B,C,D,E
1476,0.013480230505569958,0.3174725485714755,0.5848517457555109,0.08320101157902786,0.000994463588415617
781,0.0011931681156116445,0.03271540971012735,0.16748554193419846,0.704132477115699,0.09447340312436345
2374,0.0003061112335736128,0.019013907363345545,0.24476722198151335,0.7077610384695747,0.028151720951992844
270,0.21571956454789287,0.7339184607367671,0.04947152672793548,0.0008894524149388747,9.95572465477418e-07
9,0.014136690032529816,0.35464477913386006,0.5379989199389091,0.09283631205847793,0.0003832988362229148
2535,1.9446673141857857e-06,0.0003548877025979322,0.029083895186208162,0.6801013447323616,0.2904579277115181
424,0.7969777668294752,0.1903514239792029,0.007130057330995294,0.005528900687967101,1.1851172359567823e-05
1110,0.1751095390357,0.751016895840015,0.07224038531510421,0.0016304281361648565,2.751673016025784e-06
2515,0.16479076404336476,0.74822888028367,0.0845404379682251,0.002434301123399899,5.616581340467717e-06
2274,0.6549599761383815,0.33050843710334665,0.014404430850539817,0.00012696254891744136,1.9335881435087166e-07
2398,0.8953111403407805,0.09520955688136819,0.007046082222129555,0.0024293892257026837,3.83133001910753e-06
406,2.4095755903175293e-06,0.0012468523526062653,0.08395939998829748,0.7437969694773554,0.17099436860615058
606,0.0004798671231528703,0.023893881925916495,0.12366252512768124,0.8284753752145668,0.023488350608682602
2613,1.2413787472150953e-06,0.0010110484589695456,0.05466759395092313,0.6650858717103,0.2792342445010601
705,2.962258797944935e-05,0.00209118401451387,0.07316769931760635,0.7434098946711046,0.18130159940879573
1087,0.003840247306647542,0.12111066388706318,0.6656700616601802,0.20549417497110403,0.0038848521750050025
614,4.364002929107953e-09,2.6827091146223533e-07,8.506365055271666e-06,0.003149708046207024,0.9968415129538233
1324,0.0005228631528756736,0.029453391106623615,0.16241362379136914,0.7206080675754855,0.08700205437364615
1431,7.645000111772355e-05,0.01869299308698191,0.2468671646856155,0.6907693092724,0.043594082953884936
863,0.3222204321560017,0.6439274713165387,0.03355945941006021,0.0002920761714339721,5.609459654561105e-07
122,9.17342604598013e-05,0.012444356070320201,0.4634544705863616,0.479264390910536,0.044745048172322374
1033,0.0009760036108945523,0.05107418270105911,0.3652042915410488,0.5562578935603504,0.02648762858664713
1968,1.7091859341211837e-08,2.2911902308246142e-06,0.000234925647667033,0.05700679084070509,0.9427559752295377
2443,0.23260996495164107,0.6894980673289073,0.07647010017200401,0.0014153884528442676,6.479094603321573e-06
1765,0.5836353466766971,0.41270636543335004,0.0036504049323041747,7.881319778254337e-06,1.6378703959497668e-09
1308,2.962746511270676e-06,0.0003307424177495891,0.015208154170256751,0.6681181449616339,0.3163399957038485
2018,2.5132848856344974e-07,0.00013837263409369557,0.016208157328858885,0.4504947239721995,0.5331584947363593
2323,6.854578025132172e-05,0.05936136896413343,0.536786843808884,0.39275497831316625,0.011028263133565043
467,0.002213979634182274,0.15872211093051944,0.6812616126834808,0.1551525706150105,0.002649726136806922
140,3.8143922454760914e-06,0.0005629819133269179,0.033713289131861716,0.7263989782511393,0.23932093631142673
2098,0.2101793926671747,0.7385365030436967,0.050430107154220444,0.0008530865750080644,9.10559899926754e-07
28,0.01709172658417513,0.44566104664752354,0.4623595722694604,0.07462608366268544,0.00026157083615566357
242,1.7046473286251108e-05,0.0018948731097778056,0.03466639423537295,0.5659370743386143,0.3974846118429487
2786,2.7870243643764346e-06,0.0008777564325758241,0.04469482534111399,0.7038904962276931,0.25053413497425275
1794,0.017982337508412185,0.4379413068913154,0.48000940926775665,0.06386809933594811,0.00019884699656755073
1273,2.3875330850266613e-06,0.002138795130211893,0.10068665676501562,0.602597269153664,0.2945748914180235
856,9.734545610825036e-06,0.0017526475613515926,0.048145704546221794,0.8014761021392888,0.14861581120752695
1926,8.349384674213823e-07,0.00016169449233595183,0.01651265310387667,0.5789964762865337,0.4043283411787862
2346,1.7808256588157544e-05,0.018195016805904917,0.3685569305254849,0.56250456423852,0.050725680173502125
2834,5.0183626346263166e-08,6.469023845761514e-05,0.000862330965720481,0.042385336293300345,0.9566875923188951
2472,0.00030222317966818203,0.04384119948279119,0.19627228555078896,0.7092384682875402,0.05034582349921145
1199,0.8965141303530255,0.09977201506441145,0.003704895277208596,8.958351407444816e-06,9.539469943271266e-10
587,0.00016769790010399721,0.014986352842197135,0.194302692547071,0.7502851731116382,0.040258083598989594
1448,8.459815489781636e-06,0.0019469702702804162,0.05964416676809042,0.7875909701742047,0.15080943297193472
2446,0.975087523911031,0.024873285573786864,3.786365567575823e-05,1.3267290260167318e-06,1.3048050142269968e-10
2879,2.9306369656384086e-11,2.2045446824764386e-09,2.9532158550500883e-07,0.0011302185865891099,0.9988694838579744
1567,4.8946259344129534e-05,0.028891073419585623,0.38048168927850146,0.56958275719139,0.02099553385117884
1234,1.4482987609604338e-05,0.0027982280360802237,0.06689091782457449,0.7911363195768376,0.13916005157489802
1685,0.8891211055629926,0.08897995745436658,0.020448481561972234,0.0014493751550989915,1.0802655697381593e-06
1896,0.0004782436874917564,0.06850036700126745,0.4028246533741508,0.5195769278884327,0.008619808048657375
1778,0.12510145064131933,0.747004675396533,0.12342952513715447,0.004448732926587313,1.561589840575174e-05
2038,1.6761703635009958e-07,6.240827219459826e-05,0.0010229091197430352,0.0905804075933147,0.9083341073977113
2670,5.344348438518862e-10,7.868574217228484e-08,1.0636383122524214e-05,0.011078766388934486,0.988910518007766
1350,1.4318666178745534e-06,0.00013545387466286149,0.019276517708619493,0.5019982998641904,0.4785882966859094
1440,0.038393470897643014,0.6154657028441107,0.3208033619759942,0.025305679722899887,3.178455935231189e-05
2369,8.812299938931468e-06,0.008342869803991824,0.2705173485482499,0.601944897006917,0.11918607234090241
161,2.551215383641719e-06,0.0018081793829034865,0.09870131510064173,0.748499859152863,0.15098809514820813
24,6.897924602220812e-06,0.001604576891190941,0.05200550294476956,0.7753330922544486,0.17104992998498872
1548,7.257861629511042e-09,2.4643893101766195e-06,0.0005588327007337356,0.1575957906959386,0.8418429049561559
2636,7.687953876089609e-08,9.239028855308844e-06,0.0006987579583994354,0.05608220496861254,0.9432097211645939
1236,0.0001422071584102763,0.01984757457094389,0.1767702597742948,0.753500972216906,0.049738986279444834
1583,0.38065737757229656,0.49871398463452543,0.11614392328383621,0.00441837973981033,6.633476953146328e-05
2291,6.149553123984157e-06,0.005428244559914384,0.2505391271230971,0.6365786504419846,0.10744782832187993
2132,0.03602606193072178,0.588920377487515,0.346590193214121,0.028423324036221824,4.004333142046798e-05
746,1.0415398014801997e-07,3.399762293515259e-05,0.0010533009226032716,0.31527225442116835,0.6836403428793132
1090,0.06167206472046902,0.6241304417218312,0.30145472984986843,0.01270840010236364,3.436360546789777e-05
2511,0.005728934367248029,0.18280118617265742,0.639093939813226,0.16770775907635355,0.004668180570514927
1174,0.001990602544975451,0.14944576397490653,0.6828283278004724,0.16311896775821022,0.0026163379214352613
502,0.09602622666473075,0.7037439160328998,0.19388633171974823,0.006335516807484386,8.00877513705214e-06
1801,0.032657174679576934,0.6843221100081336,0.26869160533183256,0.014287567785353976,4.154219510297424e-05
375,0.0012623278674153767,0.22837246192279068,0.5883986100969277,0.18131560575820205,0.0006509943546641457
709,3.7076609385395783e-10,7.429331375502972e-08,7.146211941831781e-06,0.006759471039546915,0.9932333080844313
323,0.04648682383144173,0.23200243662068332,0.4529279628831293,0.26638623743835993,0.0021965392263856827
2295,0.0002646101247952512,0.036207513918240807,0.3108848057792217,0.6024385281078193,0.05020454206992288
