index,A,B,C,D,E
1476,0.0,0.06799999999999999,0.916,0.016,0.0
781,0.003,0.10900000000000001,0.25,0.4739999999999999,0.164
2374,0.0,0.029000000000000005,0.19,0.663,0.11800000000000002
270,0.322,0.636,0.034999999999999996,0.006999999999999999,0.0
9,0.007999999999999998,0.31799999999999995,0.585,0.08199999999999999,0.007000000000000001
2535,0.0,0.0,0.02,0.7589999999999999,0.221
424,0.621,0.362,0.014000000000000002,0.003,0.0
1110,0.23500000000000004,0.732,0.03,0.003,0.0
2515,0.076,0.8000000000000002,0.11699999999999999,0.007000000000000001,0.0
2274,0.688,0.273,0.033,0.006,0.0
2398,0.951,0.048,0.001,0.0,0.0
406,0.0,0.001,0.013999999999999999,0.183,0.8019999999999999
606,0.003,0.072,0.386,0.514,0.025
2613,0.0,0.001,0.009999999999999998,0.477,0.512
705,0.0,0.003,0.013000000000000001,0.4740000000000001,0.51
1087,0.007000000000000001,0.11000000000000003,0.6409999999999999,0.22700000000000004,0.015
614,0.0,0.004,0.003,0.082,0.9109999999999999
1324,0.001,0.048,0.10100000000000002,0.508,0.34199999999999997
1431,0.0,0.007000000000000001,0.030000000000000006,0.924,0.039
863,0.16699999999999998,0.7889999999999999,0.041,0.002,0.001
122,0.004,0.07500000000000001,0.352,0.45699999999999996,0.11200000000000002
1033,0.008,0.10400000000000001,0.22400000000000003,0.5599999999999999,0.10400000000000001
1968,0.0,0.004,0.012,0.253,0.731
2443,0.335,0.642,0.022,0.001,0.0
1765,0.8640000000000001,0.134,0.002,0.0,0.0
1308,0.012,0.08399999999999999,0.15899999999999997,0.538,0.207
2018,0.001,0.026000000000000002,0.065,0.409,0.49899999999999994
2323,0.002,0.052000000000000005,0.502,0.41100000000000003,0.033
467,0.003,0.16599999999999998,0.783,0.048,0.0
140,0.0,0.0,0.022,0.8059999999999998,0.17200000000000001
2098,0.16,0.8299999999999998,0.009,0.001,0.0
28,0.03300000000000001,0.434,0.45199999999999996,0.081,0.0
242,0.002,0.06999999999999999,0.207,0.549,0.172
2786,0.0,0.006,0.03500000000000001,0.608,0.35100000000000003
1794,0.006,0.526,0.445,0.023,0.0
1273,0.001,0.020999999999999998,0.059999999999999984,0.6629999999999999,0.255
856,0.003,0.012,0.026000000000000002,0.747,0.21200000000000002
1926,0.0,0.0,0.008,0.8360000000000001,0.15600000000000003
2346,0.0,0.049999999999999996,0.27199999999999996,0.646,0.032
2834,0.0,0.027000000000000003,0.095,0.47400000000000003,0.404
2472,0.002,0.02,0.06599999999999999,0.7459999999999999,0.166
1199,0.422,0.361,0.144,0.065,0.008
587,0.001,0.08900000000000001,0.558,0.31700000000000006,0.035
1448,0.0,0.011999999999999999,0.08900000000000001,0.667,0.23200000000000004
2446,0.8699999999999999,0.12500000000000006,0.003,0.002,0.0
2879,0.0,0.001,0.008,0.06900000000000002,0.9219999999999999
1567,0.009999999999999998,0.063,0.35500000000000004,0.51,0.06200000000000001
1234,0.0,0.001,0.011,0.8290000000000001,0.15899999999999997
1685,0.8699999999999999,0.12700000000000003,0.003,0.0,0.0
1896,0.016,0.305,0.35,0.309,0.019999999999999997
1778,0.23399999999999999,0.687,0.073,0.006,0.0
2038,0.001,0.001,0.006,0.15599999999999997,0.8360000000000001
2670,0.001,0.005,0.016,0.175,0.8029999999999999
1350,0.0,0.004,0.012,0.522,0.462
1440,0.044,0.835,0.11300000000000002,0.006,0.002
2369,0.0,0.0,0.009,0.122,0.869
161,0.0,0.006,0.023,0.629,0.342
24,0.002,0.03400000000000001,0.202,0.731,0.031
1548,0.001,0.003,0.025000000000000005,0.31300000000000006,0.658
2636,0.0,0.004,0.023,0.30000000000000004,0.6729999999999999
1236,0.0,0.005,0.06400000000000002,0.859,0.07200000000000001
1583,0.158,0.683,0.154,0.003,0.002
2291,0.004,0.047,0.36099999999999993,0.5389999999999999,0.049
2132,0.016999999999999998,0.794,0.18499999999999997,0.003,0.001
746,0.0,0.008,0.038,0.3470000000000001,0.607
1090,0.011999999999999999,0.731,0.253,0.003,0.001
2511,0.014000000000000002,0.09,0.4,0.496,0.0
1174,0.018,0.571,0.321,0.07500000000000001,0.015
502,0.05499999999999999,0.885,0.052000000000000005,0.006,0.002
1801,0.06800000000000002,0.674,0.23899999999999996,0.018,0.001
375,0.013000000000000001,0.318,0.496,0.14700000000000002,0.026000000000000002
709,0.0,0.0,0.002,0.10200000000000001,0.8960000000000001
323,0.03200000000000001,0.345,0.449,0.158,0.016
2295,0.006,0.09799999999999999,0.499,0.349,0.048
2454,0.194,0.756,0.046,0.004,0.0
1631,0.013999999999999999,0.087,0.35,0.449,0.09999999999999999
632,0.011000000000000001,0.12100000000000002,0.47700000000000004,0.296,0.09499999999999999
1607,0.007000000000000001,0.187,0.328,0.398,0.08
1612,0.018000000000000002,0.11500000000000002,0.458,0.30500000000000005,0.10400000000000001
529,0.078,0.8320000000000001,0.08099999999999999,0.007999999999999998,0.001
592,0.017,0.409,0.543,0.031,0.0
1423,0.009000000000000001,0.13199999999999998,0.611,0.24699999999999997,0.001
2099,0.6279999999999999,0.34400000000000003,0.025,0.003,0.0
1863,0.0,0.026000000000000002,0.14800000000000002,0.7050000000000001,0.12100000000000002
144,0.0,0.005,0.06700000000000002,0.6859999999999999,0.24200000000000005
589,0.13599999999999998,0.557,0.21800000000000003,0.07600000000000001,0.013000000000000001
673,0.018999999999999996,0.244,0.446,0.255,0.036000000000000004
2353,0.23700000000000004,0.673,0.071,0.018,0.001
789,0.0,0.004,0.034,0.6370000000000001,0.325
2164,0.008,0.227,0.726,0.036,0.003
531,0.031,0.837,0.12400000000000003,0.008,0.0
1879,0.01,0.027000000000000003,0.07800000000000003,0.267,0.6180000000000001
2724,0.004,0.07600000000000001,0.27399999999999997,0.5790000000000001,0.067
2812,0.017,0.501,0.4669999999999999,0.015,0.0
484,0.267,0.692,0.039,0.002,0.0
2420,0.006,0.43200000000000005,0.549,0.012999999999999998,0.0
157,0.001,0.032,0.14799999999999996,0.585,0.23400000000000004
1453,0.282,0.691,0.026000000000000002,0.001,0.0
1315,0.018000000000000002,0.095,0.256,0.45499999999999996,0.176
1224,0.0,0.005,0.027000000000000003,0.5359999999999999,0.43200000000000005
1141,0.026999999999999996,0.665,0.258,0.04599999999999999,0.004
591,0.257,0.669,0.067,0.006999999999999999,0.0
1921,0.0,0.002,0.012,0.869,0.11699999999999999
2586,0.0,0.015,0.06700000000000002,0.596,0.322
1185,0.032,0.22000000000000003,0.527,0.18299999999999997,0.038
902,0.001,0.049,0.142,0.505,0.30300000000000005
128,0.003,0.088,0.261,0.561,0.08700000000000001
191,0.0,0.011,0.05500000000000001,0.663,0.271
449,0.595,0.39399999999999996,0.006,0.005,0.0
2388,0.671,0.313,0.011,0.005,0.0
1956,0.0,0.018,0.052000000000000005,0.563,0.367
95,0.0,0.047,0.24700000000000003,0.696,0.01
1684,0.9720000000000002,0.025,0.003,0.0,0.0
1881,0.001,0.005,0.036,0.773,0.185
849,0.028000000000000004,0.382,0.5700000000000001,0.019999999999999997,0.0
2521,0.008,0.508,0.387,0.078,0.018999999999999996
2037,0.0,0.009,0.034999999999999996,0.421,0.5349999999999999
1298,0.003,0.002,0.017,0.22399999999999998,0.7539999999999999
1208,0.005,0.081,0.558,0.327,0.028999999999999998
2790,0.001,0.508,0.48900000000000005,0.002,0.0
2723,0.002,0.004,0.06499999999999999,0.5109999999999999,0.418
1410,0.008,0.09299999999999999,0.251,0.557,0.091
1846,0.003,0.042,0.837,0.10600000000000001,0.012
1034,0.001,0.004,0.125,0.7969999999999999,0.073
2765,0.01,0.135,0.28,0.445,0.13000000000000003
967,0.9449999999999997,0.05500000000000001,0.0,0.0,0.0
2372,0.0,0.0,0.008,0.10900000000000001,0.883
1120,0.012,0.671,0.31199999999999994,0.005,0.0
1937,0.002,0.016000000000000004,0.052000000000000005,0.603,0.327
951,0.005,0.10900000000000001,0.356,0.47000000000000003,0.06000000000000001
1903,0.0,0.001,0.006,0.093,0.8999999999999998
2088,0.006,0.043000000000000003,0.135,0.488,0.32799999999999996
