index,A,B,C,D,E
1476,0.0,0.063,0.9039999999999999,0.033,0.0
781,0.013000000000000001,0.08299999999999999,0.217,0.5199999999999999,0.16699999999999998
2374,0.0,0.016999999999999998,0.16299999999999998,0.7540000000000001,0.06600000000000002
270,0.34700000000000003,0.5940000000000001,0.054000000000000006,0.005,0.0
9,0.005,0.33999999999999997,0.578,0.066,0.011
2535,0.0,0.0,0.016,0.805,0.179
424,0.5650000000000001,0.40800000000000003,0.027000000000000003,0.0,0.0
1110,0.188,0.772,0.038,0.002,0.0
2515,0.055999999999999994,0.8160000000000001,0.12600000000000003,0.002,0.0
2274,0.753,0.215,0.028000000000000004,0.004,0.0
2398,0.9719999999999999,0.027000000000000003,0.001,0.0,0.0
406,0.0,0.0,0.014000000000000002,0.091,0.8950000000000001
606,0.003,0.064,0.381,0.53,0.022
2613,0.0,0.0,0.007000000000000001,0.37700000000000006,0.6160000000000001
705,0.0,0.001,0.021,0.42300000000000004,0.555
1087,0.007000000000000001,0.10800000000000001,0.667,0.20700000000000002,0.011
614,0.0,0.002,0.005,0.05,0.943
1324,0.002,0.047,0.10800000000000001,0.522,0.321
1431,0.001,0.006,0.031,0.925,0.037000000000000005
863,0.195,0.774,0.029000000000000005,0.002,0.0
122,0.007000000000000001,0.077,0.366,0.433,0.11700000000000002
1033,0.001,0.12000000000000002,0.22499999999999995,0.5530000000000002,0.10100000000000002
1968,0.001,0.004,0.009999999999999998,0.225,0.76
2443,0.284,0.686,0.027000000000000003,0.003,0.0
1765,0.869,0.129,0.002,0.0,0.0
1308,0.007000000000000001,0.087,0.11600000000000002,0.5529999999999999,0.23700000000000002
2018,0.003,0.027000000000000003,0.07400000000000001,0.465,0.43100000000000005
2323,0.003,0.05600000000000001,0.5050000000000001,0.414,0.022
467,0.001,0.10400000000000001,0.8099999999999999,0.083,0.002
140,0.0,0.003,0.005,0.841,0.15100000000000002
2098,0.14999999999999997,0.841,0.009,0.0,0.0
28,0.034,0.48200000000000004,0.4290000000000001,0.054000000000000006,0.001
242,0.002,0.067,0.23900000000000002,0.588,0.10400000000000001
2786,0.0,0.003,0.030999999999999993,0.6689999999999999,0.297
1794,0.009999999999999998,0.563,0.40700000000000003,0.02,0.0
1273,0.0,0.015,0.05600000000000001,0.6460000000000001,0.28300000000000003
856,0.002,0.017999999999999995,0.031,0.7670000000000001,0.182
1926,0.0,0.0,0.004,0.874,0.122
2346,0.0,0.028000000000000004,0.33099999999999996,0.613,0.028000000000000004
2834,0.002,0.036,0.11099999999999999,0.49800000000000005,0.353
2472,0.002,0.009,0.061,0.6799999999999999,0.24800000000000005
1199,0.41500000000000004,0.35200000000000004,0.137,0.08299999999999999,0.013000000000000001
587,0.001,0.096,0.5780000000000001,0.296,0.029000000000000005
1448,0.0,0.018,0.12200000000000003,0.6749999999999999,0.185
2446,0.8539999999999999,0.141,0.004,0.001,0.0
2879,0.0,0.003,0.006,0.089,0.9019999999999999
1567,0.004,0.076,0.359,0.511,0.049999999999999996
1234,0.0,0.001,0.005,0.8619999999999999,0.13200000000000003
1685,0.8939999999999999,0.099,0.007000000000000001,0.0,0.0
1896,0.006,0.184,0.38,0.41000000000000003,0.02
1778,0.19399999999999998,0.7300000000000001,0.073,0.003,0.0
2038,0.0,0.007000000000000001,0.012,0.18,0.8009999999999999
2670,0.0,0.002,0.018999999999999996,0.12000000000000002,0.859
1350,0.0,0.007000000000000001,0.022,0.47800000000000004,0.493
1440,0.032,0.8460000000000001,0.11800000000000002,0.004,0.0
2369,0.0,0.0,0.014999999999999996,0.087,0.898
161,0.001,0.005,0.018,0.5630000000000001,0.413
24,0.003,0.018000000000000002,0.19699999999999998,0.748,0.034
1548,0.001,0.005,0.015000000000000003,0.29300000000000004,0.6859999999999999
2636,0.0,0.006,0.027000000000000003,0.23499999999999996,0.732
1236,0.0,0.009999999999999998,0.062,0.858,0.06999999999999999
1583,0.148,0.6950000000000001,0.148,0.007999999999999998,0.001
2291,0.001,0.057999999999999996,0.348,0.5599999999999999,0.033
2132,0.02,0.7499999999999999,0.229,0.0,0.001
746,0.001,0.017,0.03799999999999999,0.394,0.55
1090,0.017,0.7080000000000001,0.27199999999999996,0.003,0.0
2511,0.006,0.05700000000000001,0.3849999999999999,0.549,0.003
1174,0.013000000000000001,0.6539999999999999,0.253,0.06799999999999999,0.012
502,0.038,0.9179999999999999,0.04399999999999999,0.0,0.0
1801,0.059,0.6819999999999999,0.24500000000000002,0.011999999999999999,0.002
375,0.009,0.353,0.506,0.11699999999999999,0.015000000000000003
709,0.0,0.0,0.001,0.07700000000000001,0.922
323,0.034,0.29100000000000004,0.55,0.11100000000000002,0.014000000000000002
2295,0.007000000000000001,0.098,0.516,0.32999999999999996,0.049
2454,0.178,0.784,0.03400000000000001,0.004,0.0
1631,0.004,0.06400000000000002,0.317,0.537,0.07799999999999999
632,0.016,0.10500000000000001,0.5029999999999999,0.319,0.05700000000000001
1607,0.011999999999999999,0.176,0.336,0.394,0.082
1612,0.011,0.119,0.518,0.26799999999999996,0.084
529,0.05900000000000001,0.8029999999999999,0.124,0.011999999999999999,0.002
592,0.014000000000000002,0.45299999999999996,0.487,0.043000000000000003,0.003
1423,0.009,0.096,0.613,0.279,0.003
2099,0.659,0.32,0.015000000000000003,0.006,0.0
1863,0.0,0.016000000000000004,0.12599999999999997,0.709,0.14900000000000002
144,0.0,0.009999999999999998,0.07999999999999999,0.741,0.169
589,0.13599999999999998,0.534,0.22399999999999998,0.095,0.011
673,0.020999999999999998,0.29900000000000004,0.44099999999999995,0.22599999999999998,0.013000000000000001
2353,0.24100000000000002,0.6779999999999999,0.068,0.012,0.001
789,0.0,0.001,0.013000000000000001,0.762,0.22399999999999998
2164,0.008,0.24700000000000003,0.7049999999999998,0.037,0.003
531,0.025000000000000005,0.859,0.11200000000000002,0.004,0.0
1879,0.006,0.027999999999999997,0.06100000000000001,0.25000000000000006,0.655
2724,0.002,0.069,0.26999999999999996,0.571,0.088
2812,0.015000000000000003,0.515,0.458,0.011999999999999999,0.0
484,0.25399999999999995,0.702,0.039,0.005,0.0
2420,0.009,0.418,0.557,0.015999999999999997,0.0
157,0.001,0.027000000000000003,0.124,0.607,0.24100000000000002
1453,0.33799999999999997,0.6340000000000001,0.025,0.003,0.0
1315,0.006,0.05700000000000001,0.22900000000000004,0.532,0.176
1224,0.0,0.008,0.025,0.601,0.366
1141,0.027000000000000003,0.597,0.32399999999999995,0.049,0.003
591,0.256,0.6599999999999999,0.072,0.012,0.0
1921,0.0,0.001,0.006,0.906,0.087
2586,0.0,0.016999999999999998,0.078,0.618,0.287
1185,0.027000000000000003,0.277,0.485,0.17600000000000002,0.035
902,0.001,0.031999999999999994,0.10800000000000001,0.489,0.37
128,0.013999999999999999,0.09,0.215,0.577,0.10400000000000001
191,0.002,0.01,0.1,0.631,0.257
449,0.542,0.44600000000000006,0.006,0.005,0.001
2388,0.635,0.35100000000000003,0.008999999999999998,0.005,0.0
1956,0.002,0.023,0.044000000000000004,0.516,0.41500000000000004
95,0.001,0.016,0.267,0.7020000000000001,0.014000000000000002
1684,0.9739999999999999,0.025,0.001,0.0,0.0
1881,0.0,0.012,0.038,0.7569999999999999,0.193
849,0.03599999999999999,0.39999999999999997,0.541,0.018,0.005
2521,0.009,0.522,0.387,0.06999999999999999,0.012
2037,0.0,0.007000000000000001,0.047,0.47400000000000003,0.472
1298,0.0,0.001,0.005,0.14799999999999996,0.8459999999999999
1208,0.002,0.098,0.538,0.33100000000000007,0.031
2790,0.0,0.5130000000000001,0.4789999999999999,0.008,0.0
2723,0.002,0.011,0.06700000000000002,0.5200000000000001,0.4
1410,0.016,0.11700000000000002,0.3,0.504,0.063
1846,0.001,0.030000000000000006,0.8870000000000001,0.077,0.005
1034,0.0,0.004,0.097,0.8259999999999998,0.073
2765,0.007000000000000001,0.092,0.327,0.4710000000000001,0.10300000000000001
967,0.9429999999999998,0.05700000000000001,0.0,0.0,0.0
2372,0.0,0.001,0.008,0.12100000000000004,0.8699999999999999
1120,0.009,0.7169999999999999,0.271,0.003,0.0
1937,0.002,0.014999999999999996,0.046,0.6130000000000001,0.32399999999999995
951,0.002,0.07999999999999999,0.371,0.491,0.05600000000000001
1903,0.0,0.002,0.007000000000000001,0.095,0.8960000000000001
2088,0.005,0.06400000000000002,0.10800000000000001,0.465,0.358
2221,0.019000000000000003,0.152,0.434,0.347,0.048
2890,0.177,0.24400000000000005,0.22999999999999998,0.309,0.039999999999999994
1533,0.012,0.10500000000000001,0.40099999999999997,0.35700000000000004,0.12500000000000006
1571,0.024999999999999998,0.43900000000000006,0.4699999999999999,0.05600000000000001,0.01
2287,0.0,0.0,0.001,0.022,0.977
378,0.013000000000000001,0.256,0.437,0.27,0.024
2082,0.011999999999999999,0.186,0.21900000000000003,0.32299999999999995,0.26
1294,0.004,0.03500000000000001,0.138,0.438,0.385
1445,0.003,0.034999999999999996,0.172,0.692,0.098
2263,0.17099999999999999,0.8230000000000001,0.006,0.0,0.0
2192,0.0,0.0,0.004,0.476,0.52
247,0.023999999999999997,0.943,0.03,0.003,0.0
1263,0.004,0.028000000000000004,0.196,0.6639999999999999,0.10799999999999998
2310,0.0,0.055999999999999994,0.8500000000000002,0.082,0.012
2602,0.004,0.11499999999999999,0.15200000000000005,0.4549999999999999,0.27399999999999997
1040,0.0,0.0,0.002,0.026000000000000002,0.9719999999999999
1672,0.007999999999999998,0.04,0.15199999999999997,0.481,0.319
626,0.036000000000000004,0.324,0.5409999999999999,0.093,0.006
1635,0.9550000000000001,0.045,0.0,0.0,0.0
1052,0.9620000000000001,0.03300000000000001,0.005,0.0,0.0
2334,0.9509999999999998,0.044,0.003,0.002,0.0
1069,0.797,0.18600000000000003,0.014000000000000002,0.003,0.0
130,0.001,0.016000000000000004,0.052000000000000005,0.27799999999999997,0.653
2045,0.05700000000000001,0.354,0.183,0.24,0.16599999999999998
2677,0.0,0.006,0.027000000000000003,0.277,0.6900000000000001
1929,0.001,0.008,0.028999999999999998,0.672,0.29000000000000004
1530,0.005,0.16799999999999998,0.369,0.35,0.10799999999999998
1361,0.008,0.089,0.258,0.5109999999999999,0.13400000000000004
1698,0.14900000000000002,0.843,0.006,0.002,0.0
2643,0.0,0.002,0.018,0.21200000000000002,0.768
1832,0.5660000000000001,0.37,0.048,0.015999999999999997,0.0
163,0.002,0.015000000000000003,0.046,0.663,0.27399999999999997
839,0.037000000000000005,0.589,0.33799999999999997,0.03200000000000001,0.004
2928,0.008,0.153,0.5029999999999999,0.284,0.052000000000000005
1359,0.001,0.015,0.04,0.189,0.7550000000000001
2600,0.003,0.026000000000000002,0.079,0.527,0.36500000000000005
519,0.053000000000000005,0.5439999999999999,0.37699999999999995,0.023,0.003
918,0.10200000000000001,0.32,0.3,0.23499999999999996,0.043000000000000003
2891,0.45899999999999996,0.49400000000000005,0.033999999999999996,0.011,0.002
2289,0.0,0.0,0.001,0.068,0.931
516,0.009999999999999998,0.392,0.493,0.096,0.009000000000000001
1554,0.0,0.006,0.016,0.203,0.7749999999999999
296,0.3410000000000001,0.536,0.094,0.026000000000000002,0.003
1064,0.8319999999999999,0.149,0.017,0.001,0.001
728,0.015000000000000003,0.291,0.351,0.266,0.077
1195,0.002,0.05800000000000001,0.061,0.726,0.15300000000000002
2768,0.005,0.03900000000000001,0.16999999999999998,0.6789999999999999,0.10699999999999998
546,0.001,0.276,0.6629999999999999,0.05700000000000001,0.003
389,0.006,0.049,0.38300000000000006,0.481,0.081
2526,0.005,0.076,0.55,0.32999999999999996,0.039
2929,0.10700000000000001,0.7790000000000001,0.094,0.017999999999999995,0.002
2550,0.0,0.006,0.08499999999999999,0.807,0.10200000000000001
2010,0.001,0.017,0.086,0.35100000000000003,0.5449999999999999
1960,0.0,0.014000000000000002,0.07299999999999998,0.613,0.3
2249,0.0,0.009,0.07999999999999999,0.792,0.119
81,0.0,0.051000000000000004,0.598,0.318,0.03300000000000001
2581,0.001,0.024,0.173,0.675,0.127
2729,0.001,0.011,0.11599999999999999,0.633,0.23899999999999996
466,0.001,0.028999999999999998,0.9479999999999998,0.021,0.001
1750,0.002,0.24100000000000002,0.7510000000000001,0.006,0.0
610,0.004,0.11599999999999999,0.5149999999999999,0.341,0.024
2473,0.004,0.03,0.15299999999999997,0.7160000000000001,0.097
2395,0.8980000000000002,0.093,0.005,0.004,0.0
1435,0.011,0.5820000000000001,0.361,0.044,0.002
2227,0.009999999999999998,0.07100000000000001,0.32700000000000007,0.4600000000000001,0.13199999999999998
1244,0.0,0.001,0.008,0.867,0.12400000000000003
2877,0.0,0.016999999999999998,0.079,0.592,0.31200000000000006
238,0.003,0.018000000000000002,0.12,0.521,0.33799999999999997
1601,0.0,0.009,0.043,0.6839999999999999,0.264
1043,0.0,0.001,0.0,0.016,0.9830000000000002
1768,0.028000000000000004,0.8859999999999999,0.08299999999999999,0.003,0.0
1997,0.08600000000000001,0.365,0.269,0.188,0.092
2629,0.0,0.0,0.009,0.7539999999999999,0.23700000000000002
1905,0.006999999999999999,0.16600000000000004,0.5780000000000001,0.23899999999999996,0.009999999999999998
1493,0.003,0.192,0.731,0.069,0.005
1616,0.0,0.10000000000000002,0.788,0.10300000000000001,0.008999999999999998
2022,0.004,0.24500000000000002,0.265,0.369,0.11699999999999999
737,0.0,0.0,0.004,0.20299999999999999,0.7929999999999999
1862,0.019,0.915,0.05,0.015000000000000003,0.001
682,0.0,0.0,0.005,0.30300000000000005,0.692
1841,0.001,0.052000000000000005,0.561,0.379,0.007000000000000001
129,0.0,0.009999999999999998,0.024,0.4130000000000001,0.5529999999999999
1909,0.005,0.05800000000000001,0.404,0.4330000000000001,0.1
2000,0.013000000000000001,0.093,0.15899999999999997,0.465,0.27
1269,0.002,0.015,0.174,0.648,0.16099999999999998
2759,0.481,0.483,0.03,0.006,0.0
2798,0.06000000000000001,0.8049999999999999,0.123,0.012,0.0
950,0.0,0.004,0.12400000000000003,0.661,0.21099999999999994
837,0.011,0.47700000000000004,0.477,0.03400000000000001,0.001
1966,0.0,0.043,0.22299999999999995,0.64,0.094
2494,0.0,0.0,0.016000000000000004,0.6689999999999999,0.31500000000000006
1317,0.003,0.049,0.16399999999999998,0.335,0.44899999999999995
1675,0.0,0.0,0.001,0.031,0.968
2016,0.0,0.004,0.011,0.43200000000000005,0.553
2273,0.04399999999999999,0.329,0.297,0.26,0.06999999999999999
1060,0.825,0.16999999999999998,0.003,0.002,0.0
1151,0.002,0.007000000000000001,0.034,0.7240000000000001,0.233
2212,0.006999999999999999,0.03,0.1,0.49300000000000005,0.37
681,0.0,0.002,0.039,0.638,0.321
1079,0.034,0.48999999999999994,0.42700000000000005,0.046,0.003
2619,0.002,0.011,0.043,0.591,0.35300000000000004
2209,0.003,0.18,0.186,0.509,0.12200000000000003
908,0.0,0.03899999999999999,0.178,0.521,0.26199999999999996
532,0.004,0.466,0.506,0.024,0.0
2197,0.0,0.0,0.001,0.10300000000000001,0.8959999999999999
1097,0.002,0.163,0.76,0.07500000000000001,0.0
2876,0.0,0.0,0.004,0.19199999999999998,0.804
2652,0.002,0.04,0.06299999999999999,0.546,0.34900000000000003
