index,A,B,C,D,E
1476,0.0,0.06,0.88,0.06,0.0
781,0.03,0.1,0.28,0.42,0.17
2374,0.0,0.04,0.12,0.69,0.15
270,0.34,0.65,0.0,0.01,0.0
9,0.01,0.17,0.65,0.14,0.03
2535,0.0,0.0,0.01,0.67,0.32
424,0.61,0.34,0.04,0.01,0.0
1110,0.24,0.73,0.02,0.01,0.0
2515,0.06,0.84,0.1,0.0,0.0
2274,0.73,0.22,0.04,0.01,0.0
2398,0.99,0.01,0.0,0.0,0.0
406,0.0,0.0,0.0,0.13,0.87
606,0.0,0.01,0.45,0.46,0.08
2613,0.0,0.0,0.0,0.54,0.46
705,0.0,0.0,0.01,0.43,0.56
1087,0.02,0.13,0.47,0.35,0.03
614,0.0,0.0,0.01,0.05,0.94
1324,0.0,0.04,0.07,0.56,0.33
1431,0.0,0.01,0.03,0.95,0.01
863,0.14,0.85,0.01,0.0,0.0
122,0.01,0.03,0.22,0.55,0.19
1033,0.0,0.08,0.33,0.52,0.07
1968,0.0,0.01,0.02,0.2,0.77
2443,0.4,0.55,0.05,0.0,0.0
1765,0.92,0.08,0.0,0.0,0.0
1308,0.01,0.03,0.07,0.63,0.26
2018,0.0,0.05,0.09,0.3,0.56
2323,0.0,0.06,0.51,0.4,0.03
467,0.0,0.07,0.91,0.02,0.0
140,0.0,0.0,0.01,0.83,0.16
2098,0.05,0.95,0.0,0.0,0.0
28,0.03,0.56,0.36,0.05,0.0
242,0.0,0.03,0.22,0.48,0.27
2786,0.0,0.0,0.04,0.59,0.37
1794,0.0,0.64,0.29,0.07,0.0
1273,0.0,0.0,0.02,0.77,0.21
856,0.0,0.02,0.05,0.77,0.16
1926,0.0,0.0,0.01,0.77,0.22
2346,0.0,0.01,0.28,0.63,0.08
2834,0.0,0.02,0.09,0.53,0.36
2472,0.0,0.0,0.06,0.49,0.45
1199,0.42,0.37,0.12,0.08,0.01
587,0.0,0.08,0.54,0.32,0.06
1448,0.0,0.02,0.19,0.62,0.17
2446,0.93,0.07,0.0,0.0,0.0
2879,0.0,0.0,0.0,0.02,0.98
1567,0.0,0.07,0.4,0.52,0.01
1234,0.0,0.0,0.01,0.88,0.11
1685,0.99,0.01,0.0,0.0,0.0
1896,0.01,0.17,0.36,0.42,0.04
1778,0.19,0.74,0.07,0.0,0.0
2038,0.0,0.0,0.01,0.16,0.83
2670,0.0,0.0,0.0,0.26,0.74
1350,0.0,0.0,0.01,0.25,0.74
1440,0.04,0.83,0.13,0.0,0.0
2369,0.0,0.0,0.02,0.12,0.86
161,0.0,0.02,0.06,0.72,0.2
24,0.0,0.02,0.14,0.8,0.04
1548,0.0,0.0,0.01,0.37,0.62
2636,0.0,0.0,0.01,0.13,0.86
1236,0.0,0.01,0.08,0.87,0.04
1583,0.19,0.67,0.11,0.02,0.01
2291,0.02,0.05,0.19,0.72,0.02
2132,0.0,0.76,0.24,0.0,0.0
746,0.0,0.0,0.02,0.35,0.63
1090,0.0,0.81,0.19,0.0,0.0
2511,0.0,0.07,0.53,0.4,0.0
1174,0.02,0.5,0.34,0.12,0.02
502,0.07,0.9,0.03,0.0,0.0
1801,0.0,0.72,0.23,0.05,0.0
375,0.02,0.14,0.65,0.16,0.03
709,0.0,0.0,0.02,0.06,0.92
323,0.02,0.27,0.43,0.25,0.03
2295,0.01,0.15,0.44,0.34,0.06
2454,0.07,0.82,0.1,0.01,0.0
1631,0.01,0.06,0.44,0.43,0.06
632,0.01,0.12,0.34,0.36,0.17
1607,0.02,0.19,0.31,0.36,0.12
1612,0.01,0.07,0.57,0.23,0.12
529,0.1,0.77,0.13,0.0,0.0
592,0.03,0.41,0.37,0.18,0.01
1423,0.0,0.09,0.8,0.11,0.0
2099,0.54,0.45,0.01,0.0,0.0
1863,0.0,0.01,0.19,0.6,0.2
144,0.0,0.0,0.03,0.88,0.09
589,0.05,0.62,0.27,0.05,0.01
673,0.02,0.21,0.42,0.31,0.04
2353,0.2,0.7,0.08,0.02,0.0
789,0.0,0.0,0.02,0.47,0.51
2164,0.0,0.09,0.87,0.04,0.0
531,0.02,0.85,0.13,0.0,0.0
1879,0.0,0.01,0.04,0.18,0.77
2724,0.0,0.06,0.32,0.6,0.02
2812,0.0,0.53,0.45,0.02,0.0
484,0.25,0.71,0.04,0.0,0.0
2420,0.0,0.51,0.48,0.01,0.0
157,0.0,0.01,0.11,0.65,0.23
1453,0.16,0.8,0.04,0.0,0.0
1315,0.01,0.06,0.15,0.58,0.2
1224,0.0,0.0,0.0,0.56,0.44
1141,0.01,0.56,0.33,0.1,0.0
591,0.2,0.7,0.1,0.0,0.0
1921,0.0,0.0,0.03,0.86,0.11
2586,0.0,0.03,0.2,0.46,0.31
1185,0.0,0.2,0.55,0.2,0.05
902,0.0,0.07,0.21,0.42,0.3
128,0.0,0.01,0.22,0.68,0.09
191,0.0,0.01,0.06,0.8,0.13
449,0.5,0.49,0.0,0.01,0.0
2388,0.43,0.55,0.01,0.01,0.0
1956,0.01,0.08,0.16,0.42,0.33
95,0.0,0.04,0.17,0.79,0.0
1684,1.0,0.0,0.0,0.0,0.0
1881,0.0,0.01,0.06,0.8,0.13
849,0.0,0.37,0.62,0.01,0.0
2521,0.0,0.69,0.27,0.04,0.0
2037,0.0,0.01,0.07,0.51,0.41
1298,0.0,0.0,0.01,0.15,0.84
1208,0.01,0.07,0.45,0.39,0.08
2790,0.0,0.28,0.72,0.0,0.0
2723,0.0,0.0,0.02,0.38,0.6
1410,0.0,0.14,0.34,0.5,0.02
1846,0.01,0.07,0.79,0.13,0.0
1034,0.0,0.0,0.33,0.67,0.0
2765,0.01,0.07,0.43,0.4,0.09
967,1.0,0.0,0.0,0.0,0.0
2372,0.0,0.0,0.01,0.21,0.78
1120,0.01,0.77,0.22,0.0,0.0
1937,0.0,0.01,0.01,0.66,0.32
951,0.01,0.06,0.32,0.57,0.04
1903,0.0,0.0,0.01,0.07,0.92
2088,0.02,0.06,0.08,0.33,0.51
2221,0.01,0.19,0.39,0.38,0.03
2890,0.22,0.18,0.22,0.37,0.01
1533,0.01,0.1,0.34,0.5,0.05
1571,0.03,0.64,0.3,0.03,0.0
2287,0.0,0.0,0.0,0.05,0.95
378,0.0,0.11,0.61,0.28,0.0
2082,0.02,0.12,0.12,0.45,0.29
1294,0.02,0.04,0.18,0.33,0.43
1445,0.01,0.02,0.08,0.76,0.13
2263,0.05,0.95,0.0,0.0,0.0
2192,0.0,0.0,0.0,0.53,0.47
247,0.01,0.98,0.01,0.0,0.0
