index,A,B,C,D,E
1476,0.0,0.07,0.89,0.04,0.0
781,0.02,0.14,0.19,0.48,0.17
2374,0.0,0.01,0.15,0.76,0.08
270,0.35,0.62,0.02,0.01,0.0
9,0.01,0.34,0.59,0.06,0.0
2535,0.0,0.0,0.03,0.72,0.25
424,0.78,0.2,0.02,0.0,0.0
1110,0.21,0.79,0.0,0.0,0.0
2515,0.07,0.86,0.05,0.02,0.0
2274,0.79,0.19,0.02,0.0,0.0
2398,0.97,0.03,0.0,0.0,0.0
406,0.0,0.01,0.0,0.06,0.93
606,0.0,0.13,0.43,0.4,0.04
2613,0.0,0.0,0.01,0.51,0.48
705,0.0,0.0,0.02,0.49,0.49
1087,0.0,0.09,0.62,0.26,0.03
614,0.0,0.0,0.0,0.01,0.99
1324,0.0,0.03,0.09,0.48,0.4
1431,0.0,0.0,0.03,0.93,0.04
863,0.1,0.88,0.02,0.0,0.0
122,0.0,0.06,0.33,0.49,0.12
1033,0.0,0.08,0.22,0.59,0.11
1968,0.0,0.01,0.02,0.13,0.84
2443,0.33,0.64,0.01,0.01,0.01
1765,0.9,0.1,0.0,0.0,0.0
1308,0.0,0.0,0.03,0.68,0.29
2018,0.0,0.02,0.09,0.3,0.59
2323,0.0,0.02,0.54,0.42,0.02
467,0.0,0.05,0.92,0.03,0.0
140,0.0,0.0,0.02,0.87,0.11
2098,0.01,0.99,0.0,0.0,0.0
28,0.06,0.49,0.43,0.02,0.0
242,0.0,0.04,0.28,0.55,0.13
2786,0.0,0.0,0.0,0.75,0.25
1794,0.0,0.53,0.43,0.04,0.0
1273,0.0,0.02,0.1,0.71,0.17
856,0.0,0.0,0.05,0.76,0.19
1926,0.0,0.0,0.0,0.93,0.07
2346,0.0,0.03,0.27,0.69,0.01
2834,0.0,0.04,0.08,0.54,0.34
2472,0.0,0.0,0.06,0.62,0.32
1199,0.47,0.43,0.06,0.03,0.01
587,0.0,0.03,0.67,0.28,0.02
1448,0.0,0.01,0.11,0.69,0.19
2446,0.9,0.1,0.0,0.0,0.0
2879,0.0,0.0,0.0,0.04,0.96
1567,0.01,0.03,0.65,0.3,0.01
1234,0.0,0.0,0.0,0.94,0.06
