index,A,B,C,D,E
1476,0.01,0.14,0.85,0.0,0.0
781,0.0,0.1,0.22,0.56,0.12
2374,0.0,0.01,0.2,0.69,0.1
270,0.32,0.65,0.03,0.0,0.0
9,0.01,0.27,0.67,0.04,0.01
2535,0.0,0.0,0.01,0.84,0.15
424,0.64,0.36,0.0,0.0,0.0
1110,0.2,0.78,0.01,0.01,0.0
2515,0.05,0.85,0.1,0.0,0.0
2274,0.79,0.19,0.01,0.01,0.0
2398,0.95,0.05,0.0,0.0,0.0
406,0.0,0.0,0.0,0.1,0.9
606,0.0,0.1,0.43,0.46,0.01
2613,0.0,0.0,0.0,0.47,0.53
705,0.0,0.0,0.02,0.45,0.53
1087,0.02,0.12,0.67,0.17,0.02
614,0.0,0.0,0.0,0.02,0.98
1324,0.0,0.06,0.06,0.53,0.35
1431,0.0,0.0,0.02,0.97,0.01
863,0.16,0.82,0.02,0.0,0.0
122,0.0,0.1,0.26,0.52,0.12
1033,0.01,0.09,0.16,0.61,0.13
1968,0.0,0.0,0.01,0.22,0.77
2443,0.39,0.59,0.01,0.01,0.0
1765,0.86,0.14,0.0,0.0,0.0
1308,0.0,0.15,0.12,0.57,0.16
2018,0.0,0.06,0.07,0.42,0.45
2323,0.0,0.05,0.49,0.45,0.01
467,0.01,0.15,0.8,0.04,0.0
140,0.0,0.0,0.03,0.89,0.08
2098,0.06,0.94,0.0,0.0,0.0
28,0.03,0.51,0.41,0.05,0.0
242,0.0,0.07,0.19,0.49,0.25
2786,0.0,0.0,0.06,0.69,0.25
1794,0.0,0.61,0.39,0.0,0.0
1273,0.0,0.0,0.02,0.76,0.22
856,0.0,0.0,0.07,0.71,0.22
1926,0.0,0.0,0.01,0.89,0.1
2346,0.0,0.03,0.25,0.7,0.02
2834,0.0,0.05,0.05,0.46,0.44
2472,0.01,0.0,0.05,0.56,0.38
1199,0.39,0.42,0.15,0.04,0.0
587,0.0,0.1,0.5,0.34,0.06
1448,0.0,0.01,0.11,0.63,0.25
2446,0.88,0.12,0.0,0.0,0.0
2879,0.0,0.0,0.0,0.11,0.89
1567,0.0,0.1,0.41,0.45,0.04
1234,0.0,0.0,0.01,0.87,0.12
1685,0.87,0.12,0.01,0.0,0.0
1896,0.04,0.21,0.4,0.33,0.02
1778,0.22,0.68,0.1,0.0,0.0
2038,0.0,0.0,0.01,0.12,0.87
2670,0.0,0.0,0.01,0.18,0.81
1350,0.0,0.0,0.02,0.43,0.55
1440,0.04,0.89,0.07,0.0,0.0
2369,0.0,0.0,0.0,0.04,0.96
161,0.0,0.0,0.01,0.62,0.37
24,0.0,0.03,0.16,0.79,0.02
1548,0.0,0.0,0.02,0.4,0.58
2636,0.0,0.0,0.02,0.29,0.69
1236,0.0,0.0,0.1,0.81,0.09
1583,0.13,0.7,0.17,0.0,0.0
2291,0.0,0.04,0.31,0.62,0.03
2132,0.01,0.79,0.2,0.0,0.0
746,0.0,0.02,0.03,0.33,0.62
1090,0.0,0.81,0.19,0.0,0.0
2511,0.0,0.05,0.36,0.59,0.0
1174,0.02,0.65,0.23,0.09,0.01
502,0.04,0.89,0.07,0.0,0.0
1801,0.05,0.69,0.25,0.01,0.0
375,0.01,0.31,0.55,0.11,0.02
709,0.0,0.0,0.0,0.16,0.84
323,0.01,0.28,0.6,0.1,0.01
2295,0.0,0.1,0.43,0.43,0.04
2454,0.2,0.74,0.06,0.0,0.0
1631,0.01,0.07,0.32,0.55,0.05
632,0.02,0.11,0.44,0.32,0.11
1607,0.0,0.16,0.29,0.48,0.07
1612,0.01,0.04,0.56,0.33,0.06
529,0.03,0.8,0.16,0.01,0.0
592,0.02,0.55,0.41,0.01,0.01
1423,0.0,0.1,0.68,0.22,0.0
