index,A,B,C,D,E
1476,0.01,0.02,0.96,0.01,0.0
781,0.0,0.06,0.17,0.61,0.16
2374,0.0,0.04,0.13,0.7,0.13
270,0.34,0.61,0.05,0.0,0.0
9,0.0,0.28,0.62,0.1,0.0
2535,0.0,0.0,0.03,0.81,0.16
424,0.56,0.41,0.03,0.0,0.0
1110,0.21,0.75,0.03,0.01,0.0
2515,0.04,0.81,0.15,0.0,0.0
2274,0.72,0.23,0.02,0.02,0.01
2398,0.96,0.03,0.01,0.0,0.0
406,0.0,0.0,0.0,0.1,0.9
606,0.0,0.09,0.44,0.43,0.04
2613,0.0,0.01,0.01,0.38,0.6
705,0.0,0.0,0.0,0.56,0.44
1087,0.0,0.11,0.67,0.21,0.01
614,0.0,0.0,0.01,0.04,0.95
1324,0.0,0.06,0.11,0.52,0.31
1431,0.0,0.02,0.01,0.94,0.03
863,0.1,0.88,0.02,0.0,0.0
122,0.0,0.1,0.35,0.44,0.11
1033,0.0,0.07,0.14,0.68,0.11
1968,0.0,0.0,0.02,0.25,0.73
2443,0.34,0.61,0.05,0.0,0.0
1765,0.78,0.22,0.0,0.0,0.0
1308,0.02,0.09,0.08,0.53,0.28
2018,0.02,0.01,0.09,0.44,0.44
2323,0.0,0.08,0.42,0.44,0.06
467,0.01,0.16,0.8,0.03,0.0
140,0.0,0.0,0.0,0.82,0.18
2098,0.05,0.91,0.04,0.0,0.0
28,0.02,0.46,0.46,0.06,0.0
242,0.0,0.05,0.1,0.6,0.25
2786,0.0,0.0,0.07,0.6,0.33
1794,0.0,0.65,0.33,0.02,0.0
1273,0.01,0.0,0.04,0.77,0.18
856,0.0,0.01,0.02,0.82,0.15
1926,0.0,0.0,0.03,0.82,0.15
2346,0.01,0.02,0.25,0.72,0.0
2834,0.0,0.01,0.04,0.62,0.33
2472,0.01,0.0,0.05,0.66,0.28
1199,0.33,0.4,0.2,0.06,0.01
587,0.0,0.06,0.63,0.29,0.02
1448,0.0,0.01,0.11,0.66,0.22
2446,0.79,0.2,0.01,0.0,0.0
2879,0.0,0.0,0.0,0.05,0.95
1567,0.0,0.05,0.43,0.46,0.06
1234,0.0,0.0,0.0,0.88,0.12
1685,0.9,0.1,0.0,0.0,0.0
1896,0.0,0.29,0.39,0.29,0.03
1778,0.18,0.69,0.13,0.0,0.0
2038,0.0,0.01,0.0,0.21,0.78
2670,0.0,0.01,0.01,0.16,0.82
1350,0.0,0.0,0.03,0.52,0.45
1440,0.07,0.81,0.11,0.01,0.0
2369,0.0,0.0,0.0,0.04,0.96
161,0.0,0.0,0.02,0.7,0.28
24,0.0,0.03,0.19,0.75,0.03
